fold,test_quarter,n_train_q,n_test_obs,rmse,r2,best_C,best_epsilon,best_gamma,n_sv,is_covid
1,2020-03-31,8,36,122.26848572050619,-0.16610975061172106,100,0.01,0.01,216,True
2,2020-06-30,9,36,161.67973373112315,0.2603703456315679,100,0.01,0.01,237,True
3,2020-09-30,10,36,56.80070060823165,0.8769490400387582,100,0.01,0.01,269,True
4,2020-12-31,11,36,84.33741517019675,0.6090604160719049,100,0.01,0.01,301,True
5,2021-03-31,12,36,17.294608238906193,0.9786396947598114,100,0.01,0.01,330,False
6,2021-06-30,13,36,10.733687782349467,0.988675326872591,100,0.01,0.01,359,False
7,2021-09-30,14,36,20.710477730126012,0.9638223205846368,100,0.01,0.01,396,False
8,2021-12-31,15,36,13.705264200272339,0.9844272796693226,100,0.01,0.01,408,False
9,2022-03-31,16,36,11.987806350954356,0.9843684251829657,100,0.01,0.01,434,False
10,2022-06-30,17,36,52.832390880098586,0.6598611934539649,100,0.01,0.01,467,False
11,2022-09-30,18,36,42.570280486893026,0.8439210980328289,100,0.01,0.01,487,False
12,2022-12-31,19,36,31.927900613179983,0.8448969255760541,100,0.01,0.01,521,False
13,2023-03-31,20,36,19.88515678641909,0.9468603998713184,100,0.01,0.01,539,False
14,2023-06-30,21,36,17.057473586438295,0.9487116690039049,100,0.01,0.01,552,False
15,2023-09-30,22,36,21.100428245863952,0.9269782222527639,100,0.01,0.01,575,False
16,2023-12-31,23,36,14.83213979453739,0.9544233475487941,100,0.01,0.01,601,False
